mdn_hash,device_make,device_model,entry_time,exit_time,duration,timeZone,state,city,latitude,longitude,CMA_CD
04cc366e-df4f-4446-b27a-f7b07d391334,Samsung,Galaxy S21,2024-09-14 16:47:26,2024-09-14 20:00:00,192,CST,TX,Prosper,32.74370601352626,-97.10829669325868,3
7923340b-be3b-4e3c-910a-390567909198,Kyocera,Pixel 6,2024-09-14 14:59:18,2024-09-14 16:20:53,81,CST,TX,Princeton,32.747059398601245,-97.11254749498673,3
e1ee0e82-bacb-4211-93b6-5280f16e42cb,Google,iPhone 13,2024-09-14 14:15:44,2024-09-14 15:09:55,54,CST,TX,Murphy,32.74440229480181,-97.07896726838118,1
36e7cee6-fd8f-4126-845c-3a7741cb41b4,Kyocera,Moto G Power,2024-09-14 15:00:24,2024-09-14 17:42:49,162,CST,TX,Murphy,32.75033071798756,-97.08552854823695,6
97eab408-73fd-4cd5-9b63-30f6ac572b2a,Apple,Moto G Power,2024-09-14 16:19:04,2024-09-14 18:09:29,110,CST,TX,DFW,32.745430701968125,-97.07978568109176,5
04ca73bd-1d1c-4755-aa73-2a7e138645dc,Apple,iPhone 13,2024-09-14 13:57:01,2024-09-14 17:45:12,228,CST,TX,Gunter,32.75105645101786,-97.08316608166804,6
b63af172-76c6-42e6-85fd-18cf4e55d15d,Google,DuraForce PRO 2,2024-09-14 18:38:14,2024-09-14 20:00:00,81,CST,TX,Frisco,32.74646817038623,-97.10098668802692,2
5bf65faf-fc34-4bd4-8009-d8e318b21e75,Samsung,iPhone 13,2024-09-14 18:21:00,2024-09-14 19:02:51,41,CST,TX,Gunter,32.74812625922205,-97.07285819472966,2
b8cf2e00-1de5-4f3d-ba03-8b7e2ebb54ba,Motorola,Galaxy S21,2024-09-14 16:30:05,2024-09-14 18:20:14,110,CST,TX,Rockwall,32.75153788165545,-97.08186899354212,6
6ad92a0a-03c9-4f8a-be55-af8ba31efab7,Motorola,Moto G Power,2024-09-14 14:14:46,2024-09-14 17:14:15,179,CST,TX,DFW,32.75076164932285,-97.09131139536466,1
0c4cc51e-9eae-4fa2-aa02-aa940c69fd78,Google,Galaxy S21,2024-09-14 13:26:20,2024-09-14 16:12:34,166,CST,TX,Plano,32.746422913778396,-97.07983556236456,6
9889ccda-1b45-4c43-b89b-054f6d0a97c9,Google,Pixel 6,2024-09-14 15:33:43,2024-09-14 16:19:45,46,CST,TX,Arlington,32.7479553302505,-97.07918336451729,5
be26723d-b28c-48f6-b65c-c11019294660,Samsung,Pixel 6,2024-09-14 17:03:40,2024-09-14 19:50:14,166,CST,TX,Princeton,32.75161790570401,-97.09494534047903,6
8b94e6a0-cfc0-4399-ac6f-dce85f7106c5,Motorola,Moto G Power,2024-09-14 19:07:27,2024-09-14 20:00:00,52,CST,TX,Murphy,32.75097684069691,-97.10600292447492,2
23d8d8c1-d571-4fae-91dd-1698bfb398ba,Apple,Pixel 6,2024-09-14 17:31:54,2024-09-14 20:00:00,148,CST,TX,Gunter,32.74743206174763,-97.10178603047814,2
9b3cafc5-09f0-4ffa-9e28-e049f6355da2,Google,DuraForce PRO 2,2024-09-14 16:46:10,2024-09-14 20:00:00,193,CST,TX,Garland,32.742060542316054,-97.09521823907285,1
4211d7b1-eece-4c3b-918a-013c65f3190f,Motorola,DuraForce PRO 2,2024-09-14 12:32:41,2024-09-14 13:45:48,73,CST,TX,McKinney,32.745086669747614,-97.09397462647641,5
c27c0e3a-e01d-432e-b644-ac33215c34c7,Apple,iPhone 13,2024-09-14 17:04:26,2024-09-14 17:48:27,44,CST,TX,Denton,32.74612850469239,-97.10073903215171,2
6302ae08-14ab-45eb-af97-891521d2cd02,Google,iPhone 13,2024-09-14 14:38:48,2024-09-14 15:36:29,57,CST,TX,Princeton,32.74311735989629,-97.09352473086723,2
626d2334-af6c-4d51-bd8d-2c1c385bed60,Motorola,iPhone 13,2024-09-14 16:36:29,2024-09-14 18:01:59,85,CST,TX,Dallas,32.75006437962418,-97.09287561309553,7
9f0990b5-2b2b-4412-91cc-e70862b03475,Apple,Galaxy S21,2024-09-14 17:44:41,2024-09-14 18:00:26,15,CST,TX,Irving,32.75118087080042,-97.09560972511959,4
